LS/RT/AT,Device,coe,inter,R^2,MAPE,graph_name,graph_url,pre_CV,pre_cost,pre_CPA
Listing,PC,285.13613741471175,-2472.1720569260697,0.8125191191928899,9.980088675783714,Listing_PC.jpg,/static/upload_form/Listing_PC.jpg,-2472,0,0
AT,SP,202.02874853783916,-1602.1326253721802,0.15106165268449684,1609.3178147308897,AT_SP.jpg,/static/upload_form/AT_SP.jpg,-1602,0,0
AT,PC,65.60573033801036,-644.6986930504643,0.667010889931729,200.15050958461558,AT_PC.jpg,/static/upload_form/AT_PC.jpg,-644,0,0
RT,SP,257.21929467647635,-2655.2189917259093,0.7016187804648567,200.80008088048956,RT_SP.jpg,/static/upload_form/RT_SP.jpg,-2655,0,0
Listing,SP,432.29714897263034,-3644.1814021700243,0.6896981289423951,9.67195017051932,Listing_SP.jpg,/static/upload_form/Listing_SP.jpg,428652,1000,0
RT,PC,124.68825918481028,-1279.9435926329984,0.8089692050262998,91.08711247290601,RT_PC.jpg,/static/upload_form/RT_PC.jpg,-1279,0,0
