Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Day,Impressions,Clicks,CV,Media Cost Margin,Google_position,Yahoo!_Position
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,11-Dec-17,681,0,,0,NaN,NaN
04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,11-Dec-17,1,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,16日～30日,11-Dec-17,118,0,,0,NaN,NaN
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,11-Dec-17,13,0,,0,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,11-Dec-17,46,2,,12,NaN,NaN
03_口座開設一般,PC,AT,Y!JAX,流出ターゲティング,,11-Dec-17,993,0,,92,NaN,NaN
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,11-Dec-17,37,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,16日～30日,11-Dec-17,37,0,,0,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,11-Dec-17,730,2,,578,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,11-Dec-17,128,0,,108,NaN,NaN
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,11-Dec-17,315,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,8日～15日,11-Dec-17,105,0,,0,NaN,NaN
04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,11-Dec-17,8206,7,,558,NaN,NaN
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,4日～7日,11-Dec-17,37,0,,0,NaN,NaN
03_口座開設一般,SP,RT,GDN,S4.申込フォーム離脱,-,11-Dec-17,4032,1,,88,NaN,NaN
01_指名,PC,Listing,Google,,,11-Dec-17,33,1,,90,1.08,NaN
01_指名,PC,Listing,Google,-,-,11-Dec-17,2016,134,,18158,1.01,NaN
03_口座開設一般,PC,RT,GDN,S4.申込フォーム離脱,-,11-Dec-17,3920,4,,733,NaN,NaN
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,8日～15日,11-Dec-17,265,0,,0,NaN,NaN
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,11-Dec-17,334,0,,0,NaN,NaN
04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,11-Dec-17,13373,16,1,1698,NaN,NaN
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,11-Dec-17,107,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,11-Dec-17,380,0,,0,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,11-Dec-17,442,1,,122,NaN,NaN
02_指名関連,PC,Listing,Google,,,11-Dec-17,995,8,,2669,1.78,NaN
00_手数料無料,PC,RT,GDN,S4.申込フォーム離脱,-,11-Dec-17,1606,1,,136,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,11-Dec-17,22,0,,5,NaN,NaN
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,11-Dec-17,756,2,,707,NaN,NaN
02_指名関連,PC,Listing,Google,-,-,11-Dec-17,5449,130,2,51079,1.52,NaN
06_外貨預金,SP,AT,GDN,-,-,11-Dec-17,1440,1,,67,NaN,NaN
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,11-Dec-17,508,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,11-Dec-17,179,2,,1072,NaN,NaN
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,11-Dec-17,315,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,11-Dec-17,145,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,11-Dec-17,6,0,,0,NaN,NaN
